	atomic_number	symbol	mass_number	Relative Atomic Mass	Isotopic  Composition	Standard Atomic Weight	Standard Isotope	isotope_symbol	delta_mass	delta neutrons
0	1.0	H	1	1.007825032239	0.9998843001619798	['1.00784', '1.00811']	True	H.1	0.0	0
1	1.0	H	2	2.0141017781212	0.00011569983802022677		False	H.2	1.0062767458822	1
2	2.0	He	3	3.016029320125	1.3429999919420001e-06	['4.0026022']	False	He.3	-0.986573934011	-1
3	2.0	He	4	4.002603254136	0.999998657000008		True	He.4	0.0	0
4	3.0	Li	6	6.015122887416	0.07593392528597713	['6.938', '6.997']	False	Li.6	-1.0008805492289996	-1
5	3.0	Li	7	7.016003436645	0.924066074714023		True	Li.7	0.0	0
6	4.0	Be	9	9.01218306582	1.0	['9.01218315']	True	Be.9	0.0	0
7	5.0	B	10	10.0129369541	0.19942081086478933	['10.806', '10.821']	False	B.10	-0.9963684103999988	-1
8	5.0	B	11	11.0093053645	0.8005791891352108		True	B.11	0.0	0
9	6.0	C	12	12.0	0.9892217245240762	['12.0096', '12.0116']	True	C.12	0.0	0
10	6.0	C	13	13.0033548350723	0.010778275475923853		False	C.13	1.0033548350722992	1
11	7.0	N	14	14.003074004432	0.9963580145679418	['14.00643', '14.00728']	True	N.14	0.0	0
12	7.0	N	15	15.0001088988864	0.003641985432058272		False	N.15	0.9970348944544014	1
13	8.0	O	16	15.9949146195717	0.9975676097295612	['15.99903', '15.99977']	True	O.16	0.0	0
14	8.0	O	17	16.9991317565069	0.000380998476006096		False	O.17	1.004217136935198	1
15	8.0	O	18	17.9991596128676	0.0020513917944328225		False	O.18	2.0042449932959006	2
16	9.0	F	19	18.9984031627392	1.0	['18.9984031636']	True	F.19	0.0	0
17	10.0	Ne	20	19.992440176217	0.9047666663333567	['20.17976']	True	Ne.20	0.0	0
18	10.0	Ne	21	20.99384668541	0.0027098103132780706		False	Ne.21	1.001406509193	1
19	10.0	Ne	22	21.99138511418	0.09252352335336526		False	Ne.22	1.998944937963003	2
20	11.0	Na	23	22.989769282019	1.0	['22.989769282']	True	Na.23	0.0	0
21	12.0	Mg	24	23.98504169714	0.7898768098552115	['24.304', '24.307']	True	Mg.24	0.0	0
22	12.0	Mg	25	24.9858369765	0.10000199984001279		False	Mg.25	1.0007952793599983	1
23	12.0	Mg	26	25.98259296831	0.11012119030477562		False	Mg.26	1.9975512711699999	2
24	13.0	Al	27	26.9815385311	1.0	['26.98153857']	True	Al.27	0.0	0
25	14.0	Si	28	27.9769265346544	0.9222217555606889	['28.084', '28.086']	True	Si.28	0.0	0
26	14.0	Si	29	28.9764946649052	0.046857484567669756		False	Si.29	0.9995681302508004	1
27	14.0	Si	30	29.97377013623	0.03092075987164141		False	Si.30	1.996843601575602	2
28	15.0	P	31	30.973761998427	1.0	['30.9737619985']	True	P.31	0.0	0
29	16.0	S	32	31.972071174414	0.9498500119990401	['32.059', '32.076']	True	S.32	0.0	0
30	16.0	S	33	32.971458909815	0.007519398448124149		False	S.33	0.9993877354009975	1
31	16.0	S	34	33.96786700447	0.04252059835213182		False	S.34	1.9957958300560001	2
32	16.0	S	36	35.967080712	0.00010999120070394368		False	S.36	3.9950095375859966	4
